chimeraid	tagid	txid1	txid2	geneid1	geneid2	symbol1	symbol2	type1	type2	locusid1	locusid2	locus1	locus2	groupid1	groupid2	score1	score2	score
chimera_1	tag_462968|1|r	MI0000145_mmu-mir-30b	ENSMUST00000089332	MI0000145_mmu-mir-30b	ENSMUSG00000068196	mmu-mir-30b	Col8a1-001	miRNA	protein_coding	locus_130	locus_5822	chr15:68337466:68337491:-	chr16:57626315:57626342:-	group_126	group_511	0.364485981309	0.934782608696	0.340715156441
chimera_2	tag_462968|1|r	MI0000548_mmu-mir-30c-2	ENSMUST00000089332	MI0000548_mmu-mir-30c-2	ENSMUSG00000068196	mmu-mir-30c-2	Col8a1-001	miRNA	protein_coding	locus_12	locus_5822	chr1:23291704:23291743:+	chr16:57626315:57626342:-	group_12	group_511	0.635514018691	0.934782608696	0.594067452255
chimera_3	tag_533637|1|r	MI0000580_mmu-mir-92a-2	ENSMUST00000182010	MI0000580_mmu-mir-92a-2	ENSMUSG00000098178	mmu-mir-92a-2	Yam1-001	miRNA	lincRNA	locus_458	locus_6334	chrX:52741852:52741918:-	chr17:39847755:39847884:+	group_119	group_231	0.920276497696	0.5	0.460138248848
chimera_4	tag_533637|1|r	MI0000719_mmu-mir-92a-1	ENSMUST00000182010	MI0000719_mmu-mir-92a-1	ENSMUSG00000098178	mmu-mir-92a-1	Yam1-001	miRNA	lincRNA	locus_121	locus_6334	chr14:115044454:115044506:+	chr17:39847755:39847884:+	group_119	group_231	1.0	0.5	0.5
chimera_5	tag_255504|1|l	MI0014061_mmu-mir-669a-7	ENSMUST00000133397	MI0014061_mmu-mir-669a-7	ENSMUSG00000089682	mmu-mir-669a-7	Bcl2l2-002	miRNA	protein_coding	locus_229	locus_4838	chr2:10486691:10486739:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_6	tag_255504|1|l	MI0014061_mmu-mir-669a-7	ENSMUST00000022806	MI0014061_mmu-mir-669a-7	ENSMUSG00000089682	mmu-mir-669a-7	Bcl2l2-002	miRNA	protein_coding	locus_229	locus_4838	chr2:10486691:10486739:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_7	tag_255504|1|l	MI0009945_mmu-mir-669o	ENSMUST00000133397	MI0009945_mmu-mir-669o	ENSMUSG00000089682	mmu-mir-669o	Bcl2l2-002	miRNA	protein_coding	locus_295	locus_4838	chr2:10514335:10514395:+	chr14:54886012:54886030:+	group_172	group_1499	0.621500809201	1.0	0.621500809201
chimera_8	tag_255504|1|l	MI0009945_mmu-mir-669o	ENSMUST00000022806	MI0009945_mmu-mir-669o	ENSMUSG00000089682	mmu-mir-669o	Bcl2l2-002	miRNA	protein_coding	locus_295	locus_4838	chr2:10514335:10514395:+	chr14:54886012:54886030:+	group_172	group_1499	0.621500809201	1.0	0.621500809201
chimera_9	tag_255504|1|l	MI0014071_mmu-mir-669p-2	ENSMUST00000133397	MI0014071_mmu-mir-669p-2	ENSMUSG00000089682	mmu-mir-669p-2	Bcl2l2-002	miRNA	protein_coding	locus_253	locus_4838	chr2:10496534:10496578:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_10	tag_255504|1|l	MI0014071_mmu-mir-669p-2	ENSMUST00000022806	MI0014071_mmu-mir-669p-2	ENSMUSG00000089682	mmu-mir-669p-2	Bcl2l2-002	miRNA	protein_coding	locus_253	locus_4838	chr2:10496534:10496578:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_11	tag_255504|1|l	MI0014068_mmu-mir-669a-9	ENSMUST00000133397	MI0014068_mmu-mir-669a-9	ENSMUSG00000089682	mmu-mir-669a-9	Bcl2l2-002	miRNA	protein_coding	locus_247	locus_4838	chr2:10494066:10494114:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_12	tag_255504|1|l	MI0014068_mmu-mir-669a-9	ENSMUST00000022806	MI0014068_mmu-mir-669a-9	ENSMUSG00000089682	mmu-mir-669a-9	Bcl2l2-002	miRNA	protein_coding	locus_247	locus_4838	chr2:10494066:10494114:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_13	tag_255504|1|l	MI0014066_mmu-mir-669a-8	ENSMUST00000133397	MI0014066_mmu-mir-669a-8	ENSMUSG00000089682	mmu-mir-669a-8	Bcl2l2-002	miRNA	protein_coding	locus_241	locus_4838	chr2:10491604:10491652:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_14	tag_255504|1|l	MI0014066_mmu-mir-669a-8	ENSMUST00000022806	MI0014066_mmu-mir-669a-8	ENSMUSG00000089682	mmu-mir-669a-8	Bcl2l2-002	miRNA	protein_coding	locus_241	locus_4838	chr2:10491604:10491652:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_15	tag_255504|1|l	MI0014077_mmu-mir-669a-12	ENSMUST00000133397	MI0014077_mmu-mir-669a-12	ENSMUSG00000089682	mmu-mir-669a-12	Bcl2l2-002	miRNA	protein_coding	locus_267	locus_4838	chr2:10503829:10503877:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_16	tag_255504|1|l	MI0014077_mmu-mir-669a-12	ENSMUST00000022806	MI0014077_mmu-mir-669a-12	ENSMUSG00000089682	mmu-mir-669a-12	Bcl2l2-002	miRNA	protein_coding	locus_267	locus_4838	chr2:10503829:10503877:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_17	tag_255504|1|l	MI0004668_mmu-mir-669a-3	ENSMUST00000133397	MI0004668_mmu-mir-669a-3	ENSMUSG00000089682	mmu-mir-669a-3	Bcl2l2-002	miRNA	protein_coding	locus_196	locus_4838	chr2:10474483:10474525:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_18	tag_255504|1|l	MI0004668_mmu-mir-669a-3	ENSMUST00000022806	MI0004668_mmu-mir-669a-3	ENSMUSG00000089682	mmu-mir-669a-3	Bcl2l2-002	miRNA	protein_coding	locus_196	locus_4838	chr2:10474483:10474525:+	chr14:54886012:54886030:+	group_172	group_1499	0.652969204603	1.0	0.652969204603
chimera_19	tag_255504|1|l	MI0004523_mmu-mir-669a-1	ENSMUST00000133397	MI0004523_mmu-mir-669a-1	ENSMUSG00000089682	mmu-mir-669a-1	Bcl2l2-002	miRNA	protein_coding	locus_203	locus_4838	chr2:10476895:10476943:+	chr14:54886012:54886030:+	group_172	group_1499	0.601544889955	1.0	0.601544889955
